SN,PN,NAME,VALUE,CREATETIME,Value length,PASS/FAIL_1,PASS/FAIL_2,PASS/FAIL_3,PASS/FAIL_4,"#????? ???500??? ????????????
# SN?????[100001~999999];
# PN???[AAA BBB]? 250?
# NAME???[AAA->CW BBB->CX]
# VALUE[AAA??21? BBB??17?]
# CREATETIME ????-????",??????,????,??????,????
681106,AAA,CW,49HV6R793EO4L6PRGKGG6,20220621,21,Pass,Pass,Pass,Pass,,?NAME??CW??VALUE=21;?NAME??CX??VALUE<21;?NAME??CX??VALUE>21,97.60%,100%,FALSE
585759,AAA,CW,K5027H8H0EM7NIHTIZA6N,20220518,21,Pass,Pass,Pass,Pass,,?NAME??CW??VALUE=21,50%,50%,TRUE
393387,AAA,CW,45MJ8CH59R4R26N0LBAVK,20220305,21,Pass,Pass,Pass,Pass,,?NAME??CW??VALUE=21;?NAME??CX??VALUE<21,97.60%,100%,FALSE
787948,AAA,CW,C9HHDQDONMSCWIM3K73AG,20210103,21,Pass,Pass,Pass,Pass,,?NAME??CW??VALUE=21;?NAME??CX??VALUE>21,49.20%,50%,FALSE
422437,AAA,CW,PMDXQN0W0JJZTP3OPXFAK,20200312,21,Pass,Pass,Pass,Pass,,?NAME???CW??VALUE=21;?NAME??CX??VALUE>21,49.20%,50%,FALSE
773524,AAA,CW,HD9D6RF39FA0FIW7E3JX5,20211001,21,Pass,Pass,Pass,Pass,,?NAME???CW??VALUE=21;?NAME??CX??VALUE>21,49.20%,50%,FALSE
687581,AAA,CW,NOPTXPGDPX4OCEXALVKR8,20211215,21,Pass,Pass,Pass,Pass,,?NAME???CW??VALUE=21;?NAME??CX??VALUE>21,49.20%,50%,FALSE
496428,AAA,CW,HCTRHTE0PU8CPB9UHEQWR,20210515,21,Pass,Pass,Pass,Pass,,?NAME???CW??VALUE=21,50%,50%,TRUE
130440,AAA,CW,B366RF1KP1BWNW13AFDEH,20201225,21,Pass,Pass,Pass,Pass,,?NAME???CW??VALUE=21,50%,50%,TRUE
511664,AAA,CW,6G9OZN3A06YNKYQND3BWT,20200508,21,Pass,Pass,Pass,Pass,,?NAME???CW??VALUE=21,50%,50%,TRUE
553201,AAA,CW,WSEA6NHVJSNCA78SG029D,20200519,21,Pass,Pass,Pass,Pass,,?NAME???CW??VALUE>21;?NAME???(CW)??VALUE<21,,,
521028,AAA,CW,05QY90EFX1E8WENSP4I1N,20221207,21,Pass,Pass,Pass,Pass,,,,,
780934,AAA,CW,IQLE02XOM241XUJSZW36T,20220901,21,Pass,Pass,Pass,Pass,,,,,
970645,AAA,CW,2PNQRVJJLLWT10AUAGRS4,20231024,21,Pass,Pass,Pass,Pass,,,,,
943313,AAA,CW,CERPS565NQMJR8TACBVTL,20200915,21,Pass,Pass,Pass,Pass,,,,,
665828,AAA,CW,M58V078FUN82IOHSH22KS,20220504,21,Pass,Pass,Pass,Pass,,,,,
485196,AAA,CW,GJ8QVHTSCP5LYNLL884TX,20230728,21,Pass,Pass,Pass,Pass,,,,,
772976,AAA,CW,CX11Y1XFGPM846XZEHP5C,20210410,21,Pass,Pass,Pass,Pass,,,,,
373543,AAA,CW,7HVPIDPHIW89LHP589D7Z,20230214,21,Pass,Pass,Pass,Pass,,,,,
440974,AAA,CW,O4CBOYSM777LYY8KIRZF1,20231222,21,Pass,Pass,Pass,Pass,,,,,
871215,AAA,CW,U159XAM9W9JO632KAIXX5,20221119,21,Pass,Pass,Pass,Pass,,,,,
515197,AAA,CW,GC7OS6QKPC2EAXMFV532C,20221027,21,Pass,Pass,Pass,Pass,,,,,
781693,AAA,CW,W3I6BIRSE475WPTQ6OL48,20230615,21,Pass,Pass,Pass,Pass,,,,,
355340,AAA,CW,3U1RUPUL4EF6F56G0AJ6N,20210918,21,Pass,Pass,Pass,Pass,,,,,
568157,AAA,CW,0ZJIC1NFDGMWNY577LHZE,20220530,21,Pass,Pass,Pass,Pass,,,,,
162509,AAA,CW,5OU9NPLO835RLCG1ST93C,20201018,21,Pass,Pass,Pass,Pass,,,,,
